1	1995	9	73	73	0	100	8.5	17	17	0	100	3.7	102338	81
2	1995	5.6	28	13	15	46	5.8	5	2	3	40	3.2	44587	61
3	1993	5.9	36	24	12	66	7	6	5	1	83	3.2	10489	66
4	1995	5.6	25	14	11	56	5.5	11	5	6	45	3.3	5666	79
5	1995	5.3	19	9	10	47	5.4	5	1	4	20	3	13761	64
6	1995	7.7	58	50	8	86	7.2	17	14	3	82	3.9	42785	92
7	1954	7.4	31	28	3	90	7.2	5	5	0	100	3.8	12812	87
8	1995	4.2	8	2	6	25	0	2	1	1	50	2.7	2649	45
9	1995	5.2	32	17	15	53	5.6	9	5	4	55	2.6	3626	40
10	1995	6.8	41	33	8	80	6.2	11	7	4	63	3.4	28260	78
11	1995	7	49	44	5	89	7.2	18	16	2	88	3.2	8320	71
12	1995	3	35	3	32	8	3.7	10	2	8	20	2.8	10078	52
13	1995	5.8	12	6	6	50	0	4	1	3	25	3.2	9195	66
14	1995	6.7	56	42	14	75	6.1	18	12	6	66	3.5	3256	72
15	1995	4.4	31	14	17	45	4.7	6	3	3	50	2.6	3350	42
16	1995	7.2	58	47	11	81	6.3	16	11	5	68	3.9	66463	91
17	1995	7.9	49	48	1	97	8.1	14	13	1	92	3.8	32782	88
18	1995	3.5	42	6	36	14	2.9	11	0	11	0	3.5	14266	72
19	1995	4.1	25	9	16	36	0	3	1	2	33	3.2	87306	73
20	1995	4	24	4	20	16	4.5	5	1	4	20	2.7	5263	38
21	1995	7.7	49	42	7	85	8.4	14	14	0	100	3.2	10155	63
22	1995	6.6	32	24	8	75	7.4	5	4	1	80	3.1	5628	58
23	2009	4.3	106	27	79	25	4.6	20	6	14	30	3.4	107023	58
24	1995	5.2	19	9	10	47	4.9	5	0	5	0	3.1	6650	67
25	1995	7.7	45	40	5	88	8.1	11	11	0	100	3.6	12742	82
26	1995	6.3	38	26	12	68	6.1	11	7	4	63	3.3	2018	66
27	1995	4.7	16	3	13	18	5.2	5	1	4	20	3.5	17168	78
28	1995	7.7	23	19	4	82	8.5	9	9	0	100	3.9	7968	82
29	1995	7	33	27	6	81	7.2	7	5	2	71	4	22420	89
30	1995	6.8	21	18	3	85	0	4	3	1	75	3.6	1061	70
31	1995	4.7	37	11	26	29	5	12	5	7	41	3.1	12136	66
32	1995	0	0	0	0	0	0	0	0	0	0	0	0	0
33	1995	0	4	2	2	50	0	2	1	1	50	0	0	0
34	1995	8.2	54	53	1	98	8.2	11	11	0	100	3	22954	54
35	1995	6.2	19	9	10	47	7.4	5	4	1	80	3.5	781	68
36	1995	8.2	53	50	3	94	7.9	20	18	2	90	3.6	15450	81
37	1995	0	4	2	2	50	0	1	0	1	0	2.9	237	27
38	1995	3.9	24	2	22	8	4.6	8	2	6	25	2.9	16311	63
39	1995	0	0	0	0	0	0	0	0	0	0	0	0	0
40	1995	7.2	13	10	3	76	0	4	3	1	75	3.5	520	66
41	1995	8.1	43	41	2	95	7.6	11	10	1	90	3.7	1552	82
42	1995	5.7	31	14	17	45	6.3	12	7	5	58	3.3	4475	75
43	1995	6.3	31	21	10	67	6.4	10	6	4	60	3.3	1103	56
44	1995	4.4	26	9	17	34	3.9	6	2	4	33	2.8	18291	55
45	2007	6.8	197	161	36	81	6.7	38	30	8	78	3.9	1145097	86
46	1995	5.6	22	11	11	50	7.6	6	5	1	83	3.2	2626	58
47	1954	9.2	49	49	0	100	8.6	10	10	0	100	4.5	29509	97
48	1995	6	49	27	22	55	6.6	14	10	4	71	3.2	37858	63
49	1995	5.7	16	8	8	50	0	4	1	3	25	3.9	1132	83
50	1995	7.5	47	41	6	87	6.9	14	12	2	85	4.2	109588	95
52	1995	6.7	33	25	8	75	7.2	6	4	2	66	3.3	4866	69
53	1994	8	10	9	1	90	0	1	1	0	100	3.9	239	82
54	1995	2.8	5	0	5	0	0	1	0	1	0	2.7	2596	47
55	2007	3.8	116	20	96	17	3.4	30	2	28	6	3	64056	55
56	1997	0	0	0	0	0	0	0	0	0	0	0	0	0
57	1995	6	44	28	16	63	5.7	11	5	6	45	3.4	3045	69
58	1994	7.9	25	23	2	92	0	4	4	0	100	4.1	5794	92
59	1995	0	1	1	0	100	0	0	0	0	0	0	0	0
